Date,Menue,Weight,Rep,SetNum,PreInterval
2019-01-01,Parallel squat,60,10,1,NA
2019-01-01,Parallel squat,60,10,2,60
2019-01-01,Parallel squat,60,10,3,60
2019-01-01,Parallel squat,60,10,4,60
2019-01-01,Parallel squat,60,8,5,60
2019-01-01,Barbell bench press,50,10,1,NA
2019-01-01,Barbell bench press,50,10,2,60
2019-01-01,Barbell bench press,50,6,3,60
2019-01-01,Barbell bench press,40,8,4,60
2019-01-01,Barbell bench press,40,6,5,60
2019-01-01,Lat pull down,10,10,1,NA
2019-01-01,Lat pull down,10,10,2,60
2019-01-01,Lat pull down,10,10,3,60
2019-01-01,Lat pull down,10,10,4,60
2019-01-01,Lat pull down,10,10,5,60
2019-01-01,Abdominal crunch machine,30,10,1,NA
2019-01-01,Abdominal crunch machine,30,10,2,60
2019-01-01,Abdominal crunch machine,30,10,3,60
2019-01-01,Abdominal crunch machine,30,10,4,60
2019-01-01,Abdominal crunch machine,30,10,5,60
